bo.,Scheme,Major Component,Sub Component,Activity Master ID,Activity Master Name,Activity Master Details ID,Activity Master Details,Norms,Criteria For Appraisal
883,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.4,Training of Urdu Teacher (New),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
884,Secondary Education,Financial Support for Teachers,Appointment of Language Teachers,160,Language Teachers in States/UTs (Urdu) (Secondary & Sr. Secondary),160.6,Training of Urdu Teacher (Previous),Upto Rs 300-500/- per teacher per day. Physical Number should proposed per Teacher,
885,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),,,,
886,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
887,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
888,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
889,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.4,Furniture & Equipment (Including Kitchen),Physical Number should proposed per Students,
890,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
891,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
892,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),175,KGBV - Type - IV (NR) (New) (Classes IX - XII),175.14,Sanitary Pad Vending and Incinerator Machines (IX - XII),,
893,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),,,,
894,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.1,No. of KGBVs (New) - Model IV,"Enter Physical No. of New KGBV proposed current year, Financial budget would be Zero for this activity",
895,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.2,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
896,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.3,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
897,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.4,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
898,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.5,Examination Fee,Physical Number should proposed per Girl Student,
899,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.6,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
900,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.7,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
901,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.8,1 Chowkidar,Physical Number should proposed per Chowkidar per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
902,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.9,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
903,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.1,2 Assistant Cook,Physical Number should proposed per Assstant Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
904,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.11,1 Full Time Accountant,Physical Number should proposed per Accountant per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
905,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.12,Specific skill training per girl,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
906,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.13,Electricity / Water Charges,Physical Number should proposed per Girl Student per annum,
907,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.14,Medical care / Contingencies,Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
908,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.15,Maintenance,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
909,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.16,Miscellaneous,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
910,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.17,Preparatory Camps,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
911,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.18,P.T.A.,Physical Number should proposed per Girl Student per annum,May proposed only for Functional Schools / Hostels
912,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.19,Provision of Rent,Physical Number should proposed per Girl Student per annum,
913,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.2,Capacity Building,Physical Number should proposed per KGBV per annum,May proposed only for Functional Schools / Hostels
914,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),176,KGBV - Type - IV (Recurring) (New) (Classes IX -XII),176.21,Physical / Self Defence,Physical Number should proposed per KGBV per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
915,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),,,,
916,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.1,Construction of Building (New),As per  State SORs/CPWD Rate (Which ever is less),
917,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.2,Boundary Wall,As per  State SORs/CPWD Rate (Which ever is less),"1. Should not be approved in Previous Year under Erstwhile, SSA, RMSA , Samagra Shiksha 2. Udise code must be of 11 digit 3.Gaps Should be Checked in UDISE+ 4. Avoid duplicate proposal 5.Must be Government School "
918,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.3,Boring / Handpump,As per  State SORs/CPWD Rate (Which ever is less),
919,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.4,Furniture & Equipment (Including Kitchen),Physical Number should proposed per Students,
920,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.5,TLM and equipment including library books,Physical Number should be proposed on no. of Girls Students,
921,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.6,Bedding,Physical Number should be proposed on no. of Girls Students,1. Must  completed 3 Yrs  and in bad condition 2.Priority should be given to Existing Enrollment
922,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),177,KGBV - Type - IV (NR) (Previous Year) (Classes IX -XII),177.7,Replacement of bedding (once in 3 years),Physical should be proposed per Student,
923,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),,,,
924,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.1,Food/Lodging per child per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission). 
925,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.2,Stipend per girl per month,Physical Number should proposed per Girl Student per month,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
926,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.3,"Supplementary TLM, Stationery and other educational material",Physical Number should proposed per Girl Student per annum,1. Should be proposed as per Existing Enrollment (PRABANDH) + 10% notional enrollment (for new admission).
927,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.4,Examination Fee,Physical Number should proposed per Girl Student,
928,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.5,1 Warden,Physical Number should proposed per Warden  per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
929,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.6,3 Part time teachers,Physical Number should proposed per Part Time Teacher per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
930,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.7,1 Chowkidar,Physical Number should proposed per Chowkidar per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
931,Secondary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),178,KGBV - Type - IV (Recurring) (Previous Year) (Classes IX - XII),178.8,1 Head Cook,Physical Number should proposed per Head Cook per month,"1. Should be In-position (If not, then the notional salary may proposed for 3 Months) "
